"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Pseudomonas_aeruginosa_strain1","Pseudomonas_aeruginosa_strain2"
"group_1177","hdfR_1","HTH-type transcriptional regulator HdfR","2","2","1","1","3953","","","","905","905","905","HCGKCINC_03835","PIELJBDO_01312"
"hisM","","Histidine transport system permease protein HisM","2","2","1","1","4749","","","","713","713","713","HCGKCINC_03028","PIELJBDO_02124"
"group_1179","cspA_3","Major cold shock protein CspA","2","2","1","1","3281","","","","209","209","209","HCGKCINC_01197","PIELJBDO_04011"
"czcD_2","","Cadmium, cobalt and zinc/H(+)-K(+) antiporter","2","2","1","1","3423","","","","950","980","965","HCGKCINC_01337","PIELJBDO_03855"
"murA","","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","2","2","1","1","101","","","","1265","1265","1265","HCGKCINC_04595","PIELJBDO_04709"
"group_1181","","hypothetical protein","2","2","1","1","4099","","","","302","302","302","HCGKCINC_03688","PIELJBDO_01460"
"fkpB","","FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase","2","2","1","1","1361","","","","440","440","440","HCGKCINC_04708","PIELJBDO_04929"
"cheB_3","","Protein-glutamate methylesterase/protein-glutamine glutaminase","2","2","1","1","155","","","","1100","1100","1100","HCGKCINC_04541","PIELJBDO_04655"
"clpA","","ATP-dependent Clp protease ATP-binding subunit ClpA","2","2","1","1","5084","","","","2276","2276","2276","HCGKCINC_02700","PIELJBDO_02462"
"group_1185","","hypothetical protein","2","2","1","1","1746","","","","785","785","785","HCGKCINC_00092","PIELJBDO_00089"
"group_1186","","hypothetical protein","2","2","1","1","2192","","","","443","443","443","HCGKCINC_00525","PIELJBDO_00535"
"dmlR_21","","HTH-type transcriptional regulator DmlR","2","2","1","1","4536","","","","920","920","920","HCGKCINC_03248","PIELJBDO_01902"
"cmk","","Cytidylate kinase","2","2","1","1","4500","","","","689","689","689","HCGKCINC_03274","PIELJBDO_01881"
"yqaA","","Inner membrane protein YqaA","2","2","1","1","4939","","","","443","443","443","HCGKCINC_02843","PIELJBDO_02317"
"lepB_1","","Signal peptidase I","2","2","1","1","3429","","","","539","539","539","HCGKCINC_01343","PIELJBDO_03849"
"rpmF","","50S ribosomal protein L32","2","2","1","1","4701","","","","182","182","182","HCGKCINC_03075","PIELJBDO_02076"
"rplN","","50S ribosomal protein L14","2","2","1","1","2862","","","","368","368","368","HCGKCINC_04385","PIELJBDO_00727"
"group_1192","","hypothetical protein","2","2","1","1","4678","","","","227","227","227","HCGKCINC_03098","PIELJBDO_02053"
"argO","","Arginine exporter protein ArgO","2","2","1","1","187","","","","602","602","602","HCGKCINC_04509","PIELJBDO_04623"
"nfuA","","Fe/S biogenesis protein NfuA","2","2","1","1","5902","","","","584","584","584","HCGKCINC_01904","PIELJBDO_03292"
"group_1195","","hypothetical protein","2","2","1","1","5915","","","","581","581","581","HCGKCINC_01891","PIELJBDO_03305"
"exbD_2","","Biopolymer transport protein ExbD","2","2","1","1","2917","","","","419","419","419","HCGKCINC_00714","PIELJBDO_04507"
"group_1197","","hypothetical protein","2","2","1","1","5712","","","","392","392","392","HCGKCINC_02091","PIELJBDO_03109"
"ygiW","","Protein YgiW","2","2","1","1","1996","","","","350","350","350","HCGKCINC_00328","PIELJBDO_00341"
"group_1199","","hypothetical protein","2","2","1","1","675","","","","209","209","209","HCGKCINC_05404","PIELJBDO_05630"
"rhsD","","hypothetical protein","2","2","1","1","5272","","","","1121","2669","1895","HCGKCINC_02530","PIELJBDO_02676"
"group_120","","hypothetical protein","2","2","1","1","3432","","","","461","461","461","HCGKCINC_01346","PIELJBDO_03846"
"cysA","","Sulfate/thiosulfate import ATP-binding protein CysA","2","2","1","1","1954","","","","989","989","989","HCGKCINC_00286","PIELJBDO_00299"
"greA","","Transcription elongation factor GreA","2","2","1","1","1159","","","","476","476","476","HCGKCINC_04920","PIELJBDO_05141"
"group_1202","","hypothetical protein","2","2","1","1","1267","","","","548","548","548","HCGKCINC_04803","PIELJBDO_05024"
"rhtC_4","","Threonine efflux protein","2","2","1","1","555","","","","620","620","620","HCGKCINC_05521","PIELJBDO_05747"
"group_1204","","hypothetical protein","2","2","1","1","4385","","","","569","569","569","HCGKCINC_03386","PIELJBDO_01747"
"auaG","","Aurachin C monooxygenase/isomerase","2","2","1","1","4324","","","","1166","1166","1166","HCGKCINC_03447","PIELJBDO_01686"
"hupB_2","","DNA-binding protein HU-beta","2","2","1","1","548","","","","272","272","272","HCGKCINC_05528","PIELJBDO_05754"
"tctD","","Transcriptional regulatory protein tctD","2","2","1","1","3061","","","","671","671","671","HCGKCINC_00781","PIELJBDO_04433"
"group_1208","","hypothetical protein","2","2","1","1","1132","","","","893","893","893","HCGKCINC_04946","PIELJBDO_05167"
"group_1209","","hypothetical protein","2","2","1","1","4284","","","","338","338","338","HCGKCINC_03486","PIELJBDO_01647"
"group_121","","hypothetical protein","2","2","1","1","3453","","","","1928","1970","1949","HCGKCINC_01367","PIELJBDO_03825"
"mtgA","","Biosynthetic peptidoglycan transglycosylase","2","2","1","1","2056","","","","731","731","731","HCGKCINC_00388","PIELJBDO_00402"
"hisQ_2","","Histidine transport system permease protein HisQ","2","2","1","1","1539","","","","689","689","689","HCGKCINC_00917","PIELJBDO_04291"
"group_1212","","hypothetical protein","2","2","1","1","5276","","","","221","221","221","HCGKCINC_02526","PIELJBDO_02681"
"rpsB","","30S ribosomal protein S2","2","2","1","1","4008","","","","740","740","740","HCGKCINC_03780","PIELJBDO_01367"
"group_1214","exbD_3","Biopolymer transport protein ExbD","2","2","1","1","1623","","","","440","440","440","HCGKCINC_01004","PIELJBDO_04204"
"ppnP","","Pyrimidine/purine nucleoside phosphorylase","2","2","1","1","3706","","","","281","281","281","HCGKCINC_01618","PIELJBDO_03583"
"group_1216","","hypothetical protein","2","2","1","1","5243","","","","194","194","194","HCGKCINC_02557","PIELJBDO_02650"
"group_1217","","hypothetical protein","2","2","1","1","4365","","","","413","413","413","HCGKCINC_03406","PIELJBDO_01727"
"group_1218","","DNA-binding protein","2","2","1","1","3234","","","","221","221","221","HCGKCINC_01150","PIELJBDO_04058"
"dmlR_27","","HTH-type transcriptional regulator DmlR","2","2","1","1","3188","","","","914","914","914","HCGKCINC_01104","PIELJBDO_04104"
"group_122","tam_5","Trans-aconitate 2-methyltransferase","2","2","1","1","3458","","","","623","731","677","HCGKCINC_01372","PIELJBDO_03820"
"group_1220","","hypothetical protein","2","2","1","1","4774","","","","344","344","344","HCGKCINC_03004","PIELJBDO_02148"
"group_1221","","hypothetical protein","2","2","1","1","5019","","","","191","191","191","HCGKCINC_02765","PIELJBDO_02397"
"rhtB_3","","Homoserine/homoserine lactone efflux protein","2","2","1","1","651","","","","629","629","629","HCGKCINC_05428","PIELJBDO_05654"
"mlaE","","Intermembrane phospholipid transport system permease protein MlaE","2","2","1","1","96","","","","797","797","797","HCGKCINC_04600","PIELJBDO_04714"
"pstB","","Phosphate import ATP-binding protein PstB","2","2","1","1","530","","","","833","833","833","HCGKCINC_05546","PIELJBDO_05772"
"rpoE","","ECF RNA polymerase sigma-E factor","2","2","1","1","4369","","","","611","611","611","HCGKCINC_03402","PIELJBDO_01731"
"group_1226","","hypothetical protein","2","2","1","1","1864","","","","212","212","212","HCGKCINC_00206","PIELJBDO_00203"
"group_1227","","hypothetical protein","2","2","1","1","3711","","","","254","254","254","HCGKCINC_01623","PIELJBDO_03578"
"group_1228","","hypothetical protein","2","2","1","1","486","","","","110","110","110","HCGKCINC_05595","PIELJBDO_05821"
"group_1229","","hypothetical protein","2","2","1","1","4951","","","","176","176","176","HCGKCINC_02831","PIELJBDO_02329"
"group_123","","hypothetical protein","2","2","1","1","3477","","","","1244","1244","1244","HCGKCINC_01391","PIELJBDO_03801"
"cysM","","Cysteine synthase B","2","2","1","1","1583","","","","899","899","899","HCGKCINC_00964","PIELJBDO_04244"
"puuA_1","","Gamma-glutamylputrescine synthetase PuuA","2","2","1","1","1970","","","","1376","1376","1376","HCGKCINC_00302","PIELJBDO_00315"
"group_1232","","hypothetical protein","2","2","1","1","2588","","","","152","152","152","HCGKCINC_04120","PIELJBDO_00987"
"ypjD","","Inner membrane protein YpjD","2","2","1","1","3917","","","","800","800","800","HCGKCINC_03871","PIELJBDO_01276"
"osmW","","Osmoprotectant import permease protein OsmW","2","2","1","1","2485","","","","662","662","662","HCGKCINC_04018","PIELJBDO_01093"
"murC","","UDP-N-acetylmuramate--L-alanine ligase","2","2","1","1","140","","","","1442","1442","1442","HCGKCINC_04556","PIELJBDO_04670"
"yhdG_1","","putative amino acid permease YhdG","2","2","1","1","1884","","","","1433","1433","1433","HCGKCINC_00226","PIELJBDO_00217"
"group_1237","","putative protein","2","2","1","1","1833","","","","380","380","380","HCGKCINC_00175","PIELJBDO_00174"
"algU_1","","RNA polymerase sigma-H factor","2","2","1","1","4779","","","","635","635","635","HCGKCINC_02999","PIELJBDO_02153"
"group_1239","","Magnesium transporter MgtE","2","2","1","1","1564","","","","1448","1448","1448","HCGKCINC_00944","PIELJBDO_04264"
"group_124","","hypothetical protein","2","2","1","1","3534","","","","758","758","758","HCGKCINC_01447","PIELJBDO_03752"
"ibpB","","Small heat shock protein IbpB","2","2","1","1","4545","","","","449","449","449","HCGKCINC_03235","PIELJBDO_01915"
"group_1241","","Homocitrate synthase","2","2","1","1","3340","","","","1367","1367","1367","HCGKCINC_01255","PIELJBDO_03939"
"group_1242","","hypothetical protein","2","2","1","1","4159","","","","1034","1034","1034","HCGKCINC_03611","PIELJBDO_01519"
"group_1243","","hypothetical protein","2","2","1","1","2271","","","","1922","1922","1922","HCGKCINC_00603","PIELJBDO_00614"
"fis","","DNA-binding protein Fis","2","2","1","1","1055","","","","323","323","323","HCGKCINC_05023","PIELJBDO_05246"
"yycJ","","Putative metallo-hydrolase YycJ","2","2","1","1","3129","","","","758","758","758","HCGKCINC_01045","PIELJBDO_04163"
"qoxC","","Quinol oxidase subunit 3","2","2","1","1","2200","","","","572","572","572","HCGKCINC_00533","PIELJBDO_00543"
"group_1247","","putative GMC-type oxidoreductase","2","2","1","1","2041","","","","1595","1595","1595","HCGKCINC_00373","PIELJBDO_00387"
"group_1248","","hypothetical protein","2","2","1","1","79","","","","395","395","395","HCGKCINC_04617","PIELJBDO_04731"
"group_1249","","hypothetical protein","2","2","1","1","6008","","","","506","506","506","HCGKCINC_01794","PIELJBDO_03403"
"group_125","","hypothetical protein","2","2","1","1","3641","","","","1709","1709","1709","HCGKCINC_01552","PIELJBDO_03648"
"dmlR_25","","HTH-type transcriptional regulator DmlR","2","2","1","1","3324","","","","914","914","914","HCGKCINC_01239","PIELJBDO_03955"
"livH_2","","High-affinity branched-chain amino acid transport system permease protein LivH","2","2","1","1","995","","","","914","914","914","HCGKCINC_05082","PIELJBDO_05306"
"hpcB","","3,4-dihydroxyphenylacetate 2,3-dioxygenase","2","2","1","1","2724","","","","923","923","923","HCGKCINC_04256","PIELJBDO_00857"
"argG","","Argininosuccinate synthase","2","2","1","1","4139","","","","1217","1217","1217","HCGKCINC_03648","PIELJBDO_01500"
"ggt_2","","Glutathione hydrolase proenzyme","2","2","1","1","3464","","","","1673","1673","1673","HCGKCINC_01378","PIELJBDO_03814"
"cyoE","","Protoheme IX farnesyltransferase","2","2","1","1","3447","","","","890","890","890","HCGKCINC_01361","PIELJBDO_03831"
"group_1256","","hypothetical protein","2","2","1","1","4382","","","","383","383","383","HCGKCINC_03389","PIELJBDO_01744"
"yccA","","Modulator of FtsH protease YccA","2","2","1","1","5100","","","","668","668","668","HCGKCINC_02684","PIELJBDO_02478"
"topA","","DNA topoisomerase 1","2","2","1","1","4659","","","","2606","2606","2606","HCGKCINC_03117","PIELJBDO_02034"
"group_1259","","hypothetical protein","2","2","1","1","1051","","","","593","593","593","HCGKCINC_05027","PIELJBDO_05250"
"alc","","allantoicase","2","2","1","1","3646","","","","998","998","998","HCGKCINC_01557","PIELJBDO_03643"
"glpR","","Glycerol-3-phosphate regulon repressor","2","2","1","1","4080","","","","755","755","755","HCGKCINC_03707","PIELJBDO_01440"
"pyrH","","Uridylate kinase","2","2","1","1","4010","","","","737","737","737","HCGKCINC_03778","PIELJBDO_01369"
"putP_1","","Sodium/proline symporter","2","2","1","1","1961","","","","1385","1385","1385","HCGKCINC_00293","PIELJBDO_00306"
"pchR","","Regulatory protein PchR","2","2","1","1","2836","","","","890","890","890","HCGKCINC_04359","PIELJBDO_00753"
"mrdB","","Peptidoglycan glycosyltransferase MrdB","2","2","1","1","2599","","","","1145","1145","1145","HCGKCINC_04131","PIELJBDO_00977"
"group_1265","","hypothetical protein","2","2","1","1","5165","","","","230","230","230","HCGKCINC_02634","PIELJBDO_02572"
"sthA","","Soluble pyridine nucleotide transhydrogenase","2","2","1","1","4679","","","","1394","1394","1394","HCGKCINC_03097","PIELJBDO_02054"
"group_1267","","putative protein","2","2","1","1","4213","","","","452","452","452","HCGKCINC_03557","PIELJBDO_01573"
"tyrR_2","","Transcriptional regulatory protein TyrR","2","2","1","1","5279","","","","1535","1535","1535","HCGKCINC_02522","PIELJBDO_02684"
"nudJ","","Phosphatase NudJ","2","2","1","1","5079","","","","470","470","470","HCGKCINC_02705","PIELJBDO_02457"
"group_127","","hypothetical protein","2","2","1","1","3662","","","","746","773","759","HCGKCINC_01573","PIELJBDO_03627"
"nusA","","Transcription termination/antitermination protein NusA","2","2","1","1","1168","","","","1481","1481","1481","HCGKCINC_04909","PIELJBDO_05130"
"nicP_6","","Porin-like protein NicP","2","2","1","1","4633","","","","1265","1265","1265","HCGKCINC_03145","PIELJBDO_02006"
"group_1272","","hypothetical protein","2","2","1","1","58","","","","809","809","809","HCGKCINC_04638","PIELJBDO_04752"
"group_1273","","hypothetical protein","2","2","1","1","604","","","","1049","1049","1049","HCGKCINC_05472","PIELJBDO_05699"
"group_1274","folE_1","GTP cyclohydrolase 1","2","2","1","1","4210","","","","560","560","560","HCGKCINC_03560","PIELJBDO_01570"
"ybiS","","putative L,D-transpeptidase YbiS","2","2","1","1","4822","","","","971","971","971","HCGKCINC_02956","PIELJBDO_02195"
"dctD_2","","C4-dicarboxylate transport transcriptional regulatory protein DctD","2","2","1","1","736","","","","1388","1388","1388","HCGKCINC_05343","PIELJBDO_05569"
"ygjP","","UTP pyrophosphatase","2","2","1","1","2240","","","","488","488","488","HCGKCINC_00573","PIELJBDO_00583"
"group_1278","","hypothetical protein","2","2","1","1","5826","","","","1226","1226","1226","HCGKCINC_01975","PIELJBDO_03221"
"group_1279","","hypothetical protein","2","2","1","1","4208","","","","311","311","311","HCGKCINC_03562","PIELJBDO_01568"
"group_128","","hypothetical protein","2","2","1","1","3663","","","","2045","2105","2075","HCGKCINC_01574","PIELJBDO_03626"
