"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Klebsiella_pneumoniae_strain1","Klebsiella_pneumoniae_strain2"
"asd_2","","Aspartate-semialdehyde dehydrogenase","2","2","1","95","916","","","","1118","1118","1118","JODDOAAB_02264","MDIKJABB_04137"
"group_13","","hypothetical protein","2","2","1","93","634","","","","125","404","264","JODDOAAB_01336","MDIKJABB_00841"
"dmlR_20","","HTH-type transcriptional regulator DmlR","2","2","1","95","931","","","","677","896","786","JODDOAAB_02278","MDIKJABB_05267"
"group_131","","hypothetical protein","2","2","1","95","936","","","","914","914","914","JODDOAAB_02283","MDIKJABB_05262"
"group_132","","hypothetical protein","2","2","1","95","939","","","","536","536","536","JODDOAAB_02286","MDIKJABB_05256"
"ulaC_1","","Ascorbate-specific PTS system EIIA component","2","2","1","95","942","","","","437","437","437","JODDOAAB_02289","MDIKJABB_05253"
"pyrB","","Aspartate carbamoyltransferase catalytic subunit","2","2","1","91","102","","","","809","935","872","JODDOAAB_02329","MDIKJABB_03104"
"celA_3","","PTS system cellobiose-specific EIIB component","2","2","1","91","111","","","","308","308","308","JODDOAAB_02338","MDIKJABB_03113"
"group_136","","hypothetical protein","2","2","1","91","122","","","","632","635","633","JODDOAAB_02349","MDIKJABB_03124"
"group_137","","hypothetical protein","2","2","1","91","126","","","","338","455","396","JODDOAAB_02353","MDIKJABB_03128"
"yjfF","","Inner membrane ABC transporter permease protein YjfF","2","2","1","91","134","","","","974","998","986","JODDOAAB_02361","MDIKJABB_03136"
"group_139","","hypothetical protein","2","2","1","91","183","","","","197","254","225","JODDOAAB_02409","MDIKJABB_03186"
"group_140","","hypothetical protein","2","2","1","91","184","","","","293","293","293","JODDOAAB_02410","MDIKJABB_03187"
"group_141","","hypothetical protein","2","2","1","91","225","","","","476","488","482","JODDOAAB_02454","MDIKJABB_02337"
"group_142","","hypothetical protein","2","2","1","91","314","","","","548","551","549","JODDOAAB_02507","MDIKJABB_02390"
"group_143","","hypothetical protein","2","2","1","94","51","","","","197","659","428","JODDOAAB_02581","MDIKJABB_05145"
"group_144","","hypothetical protein","2","2","1","94","74","","","","518","572","545","JODDOAAB_02606","MDIKJABB_01893"
"group_145","","hypothetical protein","2","2","1","94","99","","","","896","998","947","JODDOAAB_02631","MDIKJABB_01918"
"group_146","","hypothetical protein","2","2","1","94","156","","","","320","320","320","JODDOAAB_02688","MDIKJABB_01973"
"cbiQ","","Cobalt transport protein CbiQ","2","2","1","94","197","","","","677","677","677","JODDOAAB_02729","MDIKJABB_02014"
"group_148","norR_4","Anaerobic nitric oxide reductase transcription regulator NorR","2","2","1","94","230","","","","1739","1943","1841","JODDOAAB_02766","MDIKJABB_02038"
"gbpR","","HTH-type transcriptional regulator GbpR","2","2","1","95","739","","","","683","923","803","JODDOAAB_02083","MDIKJABB_02965"
"codAch2","","Pterin deaminase","2","2","1","95","655","","","","1283","1283","1283","JODDOAAB_02840","MDIKJABB_02878"
"group_152","","hypothetical protein","2","2","1","95","637","","","","140","140","140","JODDOAAB_02849","MDIKJABB_02861"
"scoA","","putative succinyl-CoA:3-ketoacid coenzyme A transferase subunit A","2","2","1","95","635","","","","644","707","675","JODDOAAB_02851","MDIKJABB_04385"
"group_154","","hypothetical protein","2","2","1","95","615","","","","842","842","842","JODDOAAB_02864","MDIKJABB_04403"
"fdhF_3","","Formate dehydrogenase H","2","2","1","95","586","","","","902","2150","1526","JODDOAAB_02891","MDIKJABB_04871"
"yfiH_2","","Polyphenol oxidase","2","2","1","95","561","","","","725","725","725","JODDOAAB_02916","MDIKJABB_04896"
"group_157","","hypothetical protein","2","2","1","95","528","","","","536","614","575","JODDOAAB_02949","MDIKJABB_02304"
"group_158","","hypothetical protein","2","2","1","95","527","","","","995","995","995","JODDOAAB_02950","MDIKJABB_02303"
"group_159","","hypothetical protein","2","2","1","95","488","","","","284","284","284","JODDOAAB_02988","MDIKJABB_02264"
"group_160","","hypothetical protein","2","2","1","93","104","","","","344","344","344","JODDOAAB_03063","MDIKJABB_03951"
"yceM","","Putative oxidoreductase YceM","2","2","1","93","143","","","","857","923","890","JODDOAAB_03102","MDIKJABB_03912"
"group_162","","hypothetical protein","2","2","1","93","144","","","","653","764","708","JODDOAAB_03103","MDIKJABB_03911"
"yceB","","putative lipoprotein YceB","2","2","1","93","147","","","","530","560","545","JODDOAAB_03106","MDIKJABB_03908"
"dinI_1","","DNA damage-inducible protein I","2","2","1","93","149","","","","251","251","251","JODDOAAB_03108","MDIKJABB_03906"
"nupC_2","","Nucleoside permease NupC","2","2","1","93","175","","","","266","1217","741","JODDOAAB_03136","MDIKJABB_04464"
"group_166","","hypothetical protein","2","2","1","93","214","","","","191","191","191","JODDOAAB_03158","MDIKJABB_04731"
"fbpC","","hypothetical protein","2","2","1","93","239","","","","188","1028","608","JODDOAAB_03180","MDIKJABB_04743"
"asnS","","Asparagine--tRNA ligase","2","2","1","93","301","","","","263","1400","831","JODDOAAB_03226","MDIKJABB_03218"
"group_169","","hypothetical protein","2","2","1","93","305","","","","635","656","645","JODDOAAB_03230","MDIKJABB_03222"
"yajO_3","","1-deoxyxylulose-5-phosphate synthase YajO","2","2","1","94","69","","","","584","1019","801","JODDOAAB_02601","MDIKJABB_05162"
"ycbB","","putative L,D-transpeptidase YcbB","2","2","1","93","307","","","","1733","1790","1761","JODDOAAB_03232","MDIKJABB_03224"
"dmsC_1","","Anaerobic dimethyl sulfoxide reductase chain C","2","2","1","93","331","","","","833","863","848","JODDOAAB_03256","MDIKJABB_03248"
"group_172","","hypothetical protein","2","2","1","95","326","","","","542","542","542","JODDOAAB_03259","MDIKJABB_04036"
"pgrR_2","","HTH-type transcriptional regulator PgrR","2","2","1","95","334","","","","905","929","917","JODDOAAB_03267","MDIKJABB_04044"
"nifJ","","Pyruvate-flavodoxin oxidoreductase","2","2","1","95","359","","","","1388","3527","2457","JODDOAAB_03291","MDIKJABB_05565"
"feaR","","Transcriptional activator FeaR","2","2","1","95","367","","","","902","902","902","JODDOAAB_03299","MDIKJABB_05284"
"group_176","","2-dehydropantoate 2-reductase","2","2","1","95","371","","","","890","890","890","JODDOAAB_03301","MDIKJABB_05282"
"paaB","","1,2-phenylacetyl-CoA epoxidase, subunit B","2","2","1","95","2321","","","","287","287","287","JODDOAAB_03306","MDIKJABB_04476"
"paaC","","1,2-phenylacetyl-CoA epoxidase, subunit C","2","2","1","95","2320","","","","755","755","755","JODDOAAB_03307","MDIKJABB_04477"
"paaD","","Putative 1,2-phenylacetyl-CoA epoxidase, subunit D","2","2","1","95","2319","","","","497","497","497","JODDOAAB_03308","MDIKJABB_04478"
"paaH","","3-hydroxyadipyl-CoA dehydrogenase","2","2","1","95","2315","","","","1421","1421","1421","JODDOAAB_03312","MDIKJABB_04482"
"gdhA_1","","Glutamate dehydrogenase","2","2","1","95","2299","","","","974","1274","1124","JODDOAAB_03328","MDIKJABB_04498"
"ydcF","","Protein YdcF","2","2","1","95","2291","","","","800","800","800","JODDOAAB_03336","MDIKJABB_05235"
"group_183","","hypothetical protein","2","2","1","95","2283","","","","479","518","498","JODDOAAB_03344","MDIKJABB_04384"
"ydgA","","Protein YdgA","2","2","1","95","2277","","","","1505","1547","1526","JODDOAAB_03350","MDIKJABB_04378"
"group_185","","hypothetical protein","2","2","1","95","2219","","","","344","347","345","JODDOAAB_03392","MDIKJABB_04835"
"group_186","","hypothetical protein","2","2","1","95","2237","","","","347","347","347","JODDOAAB_03407","MDIKJABB_01117"
"group_187","","hypothetical protein","2","2","1","95","2239","","","","365","404","384","JODDOAAB_03409","MDIKJABB_01115"
"group_188","","hypothetical protein","2","2","1","95","2242","","","","3386","3389","3387","JODDOAAB_03412","MDIKJABB_01112"
"group_189","","Thermostable carboxypeptidase 1","2","2","1","95","1168","","","","1334","1487","1410","JODDOAAB_03464","MDIKJABB_03014"
"ycgR","","Flagellar brake protein YcgR","2","2","1","94","108","","","","446","704","575","JODDOAAB_02640","MDIKJABB_01927"
"group_190","dmsC_2","Anaerobic dimethyl sulfoxide reductase chain C","2","2","1","95","1161","","","","827","857","842","JODDOAAB_03471","MDIKJABB_03021"
"hcpA_1","","Major exported protein","2","2","1","94","288","","","","482","506","494","JODDOAAB_03472","MDIKJABB_01766"
"group_192","","hypothetical protein","2","2","1","94","298","","","","341","395","368","JODDOAAB_03482","MDIKJABB_01776"
"mntB_4","","Manganese transport system ATP-binding protein MntB","2","2","1","94","346","","","","677","710","693","JODDOAAB_03530","MDIKJABB_01824"
"mltF_3","","Membrane-bound lytic murein transglycosylase F","2","2","1","94","393","","","","890","926","908","JODDOAAB_03585","MDIKJABB_01876"
"group_195","","hypothetical protein","2","2","1","94","409","","","","275","638","456","JODDOAAB_03600","MDIKJABB_01891"
"group_196","","hypothetical protein","2","2","1","94","632","","","","509","509","509","JODDOAAB_03608","MDIKJABB_01719"
"group_197","","hypothetical protein","2","2","1","94","620","","","","1025","1034","1029","JODDOAAB_03620","MDIKJABB_02593"
"galP","","Galactose-proton symporter","2","2","1","94","484","","","","1394","1394","1394","JODDOAAB_04100","MDIKJABB_02470"
"umuD_2","","Protein UmuD","2","2","1","95","121","","","","425","425","425","JODDOAAB_05153","MDIKJABB_02713"
"group_198","","hypothetical protein","2","2","1","94","612","","","","833","833","833","JODDOAAB_03622","MDIKJABB_02591"
"cbdA","","2-halobenzoate 1,2-dioxygenase large subunit","2","2","1","95","820","","","","1382","1382","1382","JODDOAAB_02164","MDIKJABB_03836"
"secE","","Protein translocase subunit SecE","2","2","1","83","2","","","","383","383","383","JODDOAAB_04878","MDIKJABB_04630"
"glmS_2","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","2","2","1","90","61","","","","1829","1829","1829","JODDOAAB_04419","MDIKJABB_03436"
"fepD","","Ferric enterobactin transport system permease protein FepD","2","2","1","93","653","","","","1007","1007","1007","JODDOAAB_01347","MDIKJABB_00861"
"mhpD","","2-keto-4-pentenoate hydratase","2","2","1","95","557","","","","806","806","806","JODDOAAB_02920","MDIKJABB_02331"
"osmC","","Peroxiredoxin OsmC","2","2","1","95","861","","","","431","431","431","JODDOAAB_02204","MDIKJABB_03876"
"atpA","","ATP synthase subunit alpha","2","2","1","90","56","","","","1541","1541","1541","JODDOAAB_04424","MDIKJABB_03431"
"lspA","","Lipoprotein signal peptidase","2","2","1","94","935","","","","500","500","500","JODDOAAB_00842","MDIKJABB_00477"
"leuB","","3-isopropylmalate dehydrogenase","2","2","1","94","1076","","","","1091","1091","1091","JODDOAAB_00889","MDIKJABB_00535"
"dacA","","D-alanyl-D-alanine carboxypeptidase DacA","2","2","1","93","584","","","","1271","1271","1271","JODDOAAB_01288","MDIKJABB_00793"
"group_199","","hypothetical protein","2","2","1","94","605","","","","383","383","383","JODDOAAB_03629","MDIKJABB_02584"
"group_1990","","hypothetical protein","2","2","1","93","156","","","","386","386","386","JODDOAAB_03115","MDIKJABB_05032"
"group_1991","","hypothetical protein","2","2","1","95","1453","","","","482","482","482","JODDOAAB_01505","MDIKJABB_01497"
"group_1992","","hypothetical protein","2","2","1","95","2168","","","","227","227","227","JODDOAAB_04602","MDIKJABB_04663"
"phnR","","Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons","2","2","1","90","6","","","","719","719","719","JODDOAAB_04356","MDIKJABB_03500"
"clpS","","ATP-dependent Clp protease adapter protein ClpS","2","2","1","93","345","","","","317","317","317","JODDOAAB_01037","MDIKJABB_03262"
"dnaQ","","DNA polymerase III subunit epsilon","2","2","1","93","10","","","","740","740","740","JODDOAAB_05059","MDIKJABB_00363"
"manA","","Mannose-6-phosphate isomerase","2","2","1","95","2276","","","","1175","1175","1175","JODDOAAB_03351","MDIKJABB_04377"
"licH_2","","putative 6-phospho-beta-glucosidase","2","2","1","95","282","","","","1313","1313","1313","JODDOAAB_03712","MDIKJABB_05187"
"group_1998","","hypothetical protein","2","2","1","94","75","","","","293","293","293","JODDOAAB_02607","MDIKJABB_01894"
"tig","","Trigger factor","2","2","1","93","876","","","","1298","1298","1298","JODDOAAB_00196","MDIKJABB_00172"
"group_200","","hypothetical protein","2","2","1","94","604","","","","428","428","428","JODDOAAB_03630","MDIKJABB_02583"
"group_2000","","hypothetical protein","2","2","1","87","39","","","","218","218","218","JODDOAAB_04723","MDIKJABB_05408"
"upp","","Uracil phosphoribosyltransferase","2","2","1","95","1347","","","","626","626","626","JODDOAAB_01596","MDIKJABB_01406"
"gltD","","Glutamate synthase [NADPH] small chain","2","2","1","94","786","","","","1418","1418","1418","JODDOAAB_04156","MDIKJABB_01563"
"deoA","","Thymidine phosphorylase","2","2","1","94","896","","","","1322","1322","1322","JODDOAAB_00803","MDIKJABB_00438"
"group_2004","","hypothetical protein","2","2","1","91","83","","","","884","884","884","JODDOAAB_04913","MDIKJABB_05277"
"ppc","","Phosphoenolpyruvate carboxylase","2","2","1","89","62","","","","2651","2651","2651","JODDOAAB_04457","MDIKJABB_03579"
"group_2006","","hypothetical protein","2","2","1","95","1599","","","","185","185","185","JODDOAAB_01736","MDIKJABB_02755"
"clsA","","Cardiolipin synthase A","2","2","1","95","482","","","","1460","1460","1460","JODDOAAB_02994","MDIKJABB_02258"
"ppnP","","Pyrimidine/purine nucleoside phosphorylase","2","2","1","93","940","","","","284","284","284","JODDOAAB_00260","MDIKJABB_00236"
"group_2009","","hypothetical protein","2","2","1","83","13","","","","1532","1532","1532","JODDOAAB_04889","MDIKJABB_04619"
"group_201","","hypothetical protein","2","2","1","94","603","","","","431","431","431","JODDOAAB_03631","MDIKJABB_02582"
"group_2010","","hypothetical protein","2","2","1","95","2158","","","","632","632","632","JODDOAAB_04592","MDIKJABB_04653"
"plsC","","1-acyl-sn-glycerol-3-phosphate acyltransferase","2","2","1","94","541","","","","737","737","737","JODDOAAB_04038","MDIKJABB_02523"
"group_2012","","hypothetical protein","2","2","1","93","209","","","","449","449","449","JODDOAAB_03153","MDIKJABB_04726"
"cnoX","","Chaperedoxin","2","2","1","93","803","","","","854","854","854","JODDOAAB_00123","MDIKJABB_00100"
"truC","","tRNA pseudouridine synthase C","2","2","1","94","246","","","","794","794","794","JODDOAAB_02782","MDIKJABB_02054"
"yciI","","Protein YciI","2","2","1","95","485","","","","296","296","296","JODDOAAB_02991","MDIKJABB_02261"
"mnmA","","tRNA-specific 2-thiouridylase MnmA","2","2","1","95","2191","","","","1166","1166","1166","JODDOAAB_04609","MDIKJABB_04862"
"srlR_2","","Glucitol operon repressor","2","2","1","95","257","","","","749","749","749","JODDOAAB_03737","MDIKJABB_03764"
"nirD","","Nitrite reductase (NADH) small subunit","2","2","1","92","33","","","","326","326","326","JODDOAAB_00401","MDIKJABB_01275"
"proA_2","","Gamma-glutamyl phosphate reductase","2","2","1","95","1379","","","","1403","1403","1403","JODDOAAB_01564","MDIKJABB_01438"
"group_202","","hypothetical protein","2","2","1","94","602","","","","446","446","446","JODDOAAB_03632","MDIKJABB_02581"
"group_2020","","hypothetical protein","2","2","1","94","85","","","","230","230","230","JODDOAAB_02617","MDIKJABB_01904"
"chaA","","Sodium-potassium/proton antiporter ChaA","2","2","1","95","445","","","","1100","1100","1100","JODDOAAB_03033","MDIKJABB_02219"
"yfiF","","putative tRNA/rRNA methyltransferase YfiF","2","2","1","95","1241","","","","1085","1085","1085","JODDOAAB_01677","MDIKJABB_04070"
"group_2023","","hypothetical protein","2","2","1","95","365","","","","185","185","185","JODDOAAB_03297","MDIKJABB_05286"
"yncE_2","","putative protein YncE","2","2","1","95","784","","","","1061","1061","1061","JODDOAAB_02128","MDIKJABB_04579"
"cysG_1","","Siroheme synthase","2","2","1","92","34","","","","1373","1373","1373","JODDOAAB_00402","MDIKJABB_01274"
"lpxC","","UDP-3-O-acyl-N-acetylglucosamine deacetylase","2","2","1","94","1055","","","","917","917","917","JODDOAAB_00910","MDIKJABB_00556"
"pepT","","Peptidase T","2","2","1","95","2183","","","","1232","1232","1232","JODDOAAB_04617","MDIKJABB_04870"
"livJ_1","","Leu/Ile/Val-binding protein","2","2","1","92","102","","","","1097","1097","1097","JODDOAAB_00469","MDIKJABB_01206"
"thiI","","tRNA sulfurtransferase","2","2","1","93","899","","","","1448","1448","1448","JODDOAAB_00219","MDIKJABB_00195"
"group_203","","hypothetical protein","2","2","1","94","601","","","","572","572","572","JODDOAAB_03633","MDIKJABB_02580"
"ttcA","","tRNA-cytidine(32) 2-sulfurtransferase","2","2","1","95","355","","","","935","935","935","JODDOAAB_03287","MDIKJABB_04060"
"mreB","","Cell shape-determining protein MreB","2","2","1","94","26","","","","1043","1043","1043","JODDOAAB_04122","MDIKJABB_01538"
"rsxA","","Ion-translocating oxidoreductase complex subunit A","2","2","1","95","725","","","","581","581","581","JODDOAAB_02069","MDIKJABB_02951"
"group_2033","","hypothetical protein","2","2","1","94","427","","","","509","509","509","JODDOAAB_03666","MDIKJABB_04529"
"yihV","","Sulfofructose kinase","2","2","1","93","924","","","","962","962","962","JODDOAAB_00244","MDIKJABB_00220"
"rseA","","Anti-sigma-E factor RseA","2","2","1","95","1248","","","","650","650","650","JODDOAAB_01670","MDIKJABB_04077"
"ihfA","","Integration host factor subunit alpha","2","2","1","95","498","","","","299","299","299","JODDOAAB_02978","MDIKJABB_02274"
"rnhA","","Ribonuclease HI","2","2","1","93","9","","","","467","467","467","JODDOAAB_05060","MDIKJABB_00364"
"radA","","DNA repair protein RadA","2","2","1","94","902","","","","1382","1382","1382","JODDOAAB_00809","MDIKJABB_00444"
"livF_4","","High-affinity branched-chain amino acid transport ATP-binding protein LivF","2","2","1","95","1558","","","","719","719","719","JODDOAAB_01695","MDIKJABB_02795"
"group_204","","hypothetical protein","2","2","1","94","599","","","","908","908","908","JODDOAAB_03635","MDIKJABB_02578"
"hcp","","Hydroxylamine reductase","2","2","1","93","352","","","","1652","1652","1652","JODDOAAB_01044","MDIKJABB_03269"
"ubiG","","Ubiquinone biosynthesis O-methyltransferase","2","2","1","95","1983","","","","728","728","728","JODDOAAB_01417","MDIKJABB_01014"
"hexR_3","","HTH-type transcriptional regulator HexR","2","2","1","91","87","","","","857","857","857","JODDOAAB_04909","MDIKJABB_05035"
"rhaR_3","","HTH-type transcriptional activator RhaR","2","2","1","95","752","","","","869","869","869","JODDOAAB_02097","MDIKJABB_02978"
"trpS2","","Tryptophan--tRNA ligase 2","2","2","1","94","805","","","","1007","1007","1007","JODDOAAB_00710","MDIKJABB_04809"
"group_2045","","hypothetical protein","2","2","1","94","142","","","","713","713","713","JODDOAAB_02674","MDIKJABB_01959"
"fusA_1","","Elongation factor G","2","2","1","92","3","","","","2114","2114","2114","JODDOAAB_00372","MDIKJABB_01305"
"mnaT","","L-amino acid N-acyltransferase MnaT","2","2","1","95","777","","","","518","518","518","JODDOAAB_02121","MDIKJABB_04586"
"lolB","","Outer-membrane lipoprotein LolB","2","2","1","95","438","","","","611","611","611","JODDOAAB_03040","MDIKJABB_02212"
"group_2049","","hypothetical protein","2","2","1","93","115","","","","539","539","539","JODDOAAB_03074","MDIKJABB_03940"
"ompA_3","","Outer membrane protein A","2","2","1","95","310","","","","1706","1706","1706","JODDOAAB_03678","MDIKJABB_04022"
"satP","","Succinate-acetate/proton symporter SatP","2","2","1","94","925","","","","566","566","566","JODDOAAB_00832","MDIKJABB_00467"
"group_2051","","hypothetical protein","2","2","1","95","491","","","","233","233","233","JODDOAAB_02985","MDIKJABB_02267"
"garK_1","","Glycerate 2-kinase","2","2","1","94","251","","","","1139","1139","1139","JODDOAAB_02787","MDIKJABB_01729"
"msrB","","Peptide methionine sulfoxide reductase MsrB","2","2","1","95","160","","","","413","413","413","JODDOAAB_03827","MDIKJABB_04219"
"group_2054","","hypothetical protein","2","2","1","95","1555","","","","476","476","476","JODDOAAB_01692","MDIKJABB_02798"
"rbsC_7","","Ribose import permease protein RbsC","2","2","1","90","40","","","","965","965","965","JODDOAAB_04440","MDIKJABB_03415"
"ygdR_1","","putative lipoprotein YgdR","2","2","1","94","1113","","","","233","233","233","JODDOAAB_00852","MDIKJABB_00498"
"hisS","","Histidine--tRNA ligase","2","2","1","95","1302","","","","1274","1274","1274","JODDOAAB_01618","MDIKJABB_01331"
"nikR","","Nickel-responsive regulator","2","2","1","92","325","","","","398","398","398","JODDOAAB_00501","MDIKJABB_01174"
"traA","","Pilin","2","2","1","87","31","","","","368","368","368","JODDOAAB_04716","MDIKJABB_05582"
"yraA","","hypothetical protein","2","2","1","95","305","","","","317","566","441","JODDOAAB_03683","MDIKJABB_05390"
"argG","","Argininosuccinate synthase","2","2","1","94","741","","","","1343","1343","1343","JODDOAAB_04201","MDIKJABB_01609"
"fimG","","Protein FimG","2","2","1","94","89","","","","500","500","500","JODDOAAB_02621","MDIKJABB_01908"
"yfgJ","","putative protein YfgJ","2","2","1","95","1307","","","","218","218","218","JODDOAAB_01613","MDIKJABB_01336"
"group_2063","","hypothetical protein","2","2","1","94","84","","","","272","272","272","JODDOAAB_02616","MDIKJABB_01903"
"group_2064","","hypothetical protein","2","2","1","91","230","","","","590","590","590","JODDOAAB_02459","MDIKJABB_02342"
"group_2065","","hypothetical protein","2","2","1","83","19","","","","203","203","203","JODDOAAB_04908","MDIKJABB_04600"
"nagZ","","Beta-hexosaminidase","2","2","1","93","118","","","","1022","1022","1022","JODDOAAB_03077","MDIKJABB_03937"
"group_2067","","hypothetical protein","2","2","1","95","2241","","","","233","233","233","JODDOAAB_03411","MDIKJABB_01113"
"clpB","","Chaperone protein ClpB","2","2","1","94","418","","","","2573","2573","2573","JODDOAAB_03675","MDIKJABB_04538"
"benM_2","","HTH-type transcriptional regulator BenM","2","2","1","95","629","","","","872","872","872","JODDOAAB_02857","MDIKJABB_04391"
"mpaA","","Murein peptide amidase A","2","2","1","95","287","","","","707","779","743","JODDOAAB_03707","MDIKJABB_05182"
"uvrB","","UvrABC system protein B","2","2","1","93","458","","","","2021","2021","2021","JODDOAAB_01150","MDIKJABB_04307"
"metAS","","Homoserine O-succinyltransferase","2","2","1","91","240","","","","929","929","929","JODDOAAB_02579","MDIKJABB_02463"
"ndh","","NADH dehydrogenase","2","2","1","93","116","","","","1304","1304","1304","JODDOAAB_03075","MDIKJABB_03939"
"group_2073","","IS3 family transposase ISKpn38","2","2","1","95","51","","","","305","305","305","JODDOAAB_05237","MDIKJABB_02645"
"deoD","","Purine nucleoside phosphorylase DeoD-type","2","2","1","94","898","","","","719","719","719","JODDOAAB_00805","MDIKJABB_00440"
"ftsE","","Cell division ATP-binding protein FtsE","2","2","1","92","108","","","","668","668","668","JODDOAAB_00475","MDIKJABB_01200"
"emtA","","Endo-type membrane-bound lytic murein transglycosylase A","2","2","1","95","1577","","","","611","611","611","JODDOAAB_01714","MDIKJABB_02777"
"group_2077","","hypothetical protein","2","2","1","93","784","","","","866","866","866","JODDOAAB_00102","MDIKJABB_00076"
"ybhC","","Putative acyl-CoA thioester hydrolase YbhC","2","2","1","93","472","","","","1283","1283","1283","JODDOAAB_01164","MDIKJABB_05368"
"nupC_1","","Nucleoside permease NupC","2","2","1","95","1418","","","","1202","1202","1202","JODDOAAB_01519","MDIKJABB_01483"
"norB","","Quinolone resistance protein NorB","2","2","1","95","273","","","","1058","1391","1224","JODDOAAB_03721","MDIKJABB_05196"
"metI_1","","D-methionine transport system permease protein MetI","2","2","1","94","943","","","","653","653","653","JODDOAAB_01022","MDIKJABB_00668"
"group_2081","","hypothetical protein","2","2","1","95","1093","","","","482","482","482","JODDOAAB_03931","MDIKJABB_03086"
