locus_tag	ftype	length_bp	gene	EC_number	COG	product
JMBFADNF_00035	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
JMBFADNF_00036	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
JMBFADNF_00037	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
JMBFADNF_00038	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
JMBFADNF_00039	CDS	423	yphA		COG2259	Inner membrane protein YphA
JMBFADNF_00040	CDS	498				hypothetical protein
JMBFADNF_00041	CDS	1137	hcaT			putative 3-phenylpropionic acid transporter
JMBFADNF_00042	CDS	1278				hypothetical protein
JMBFADNF_00043	CDS	639				hypothetical protein
JMBFADNF_00044	CDS	981				hypothetical protein
JMBFADNF_00045	CDS	807	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
JMBFADNF_00046	CDS	729	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
JMBFADNF_00047	CDS	492	iscR		COG1959	HTH-type transcriptional regulator IscR
JMBFADNF_00048	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
JMBFADNF_00049	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
JMBFADNF_00050	CDS	324	iscA		COG0316	Iron-binding protein IscA
JMBFADNF_00051	CDS	516	hscB		COG1076	Co-chaperone protein HscB
JMBFADNF_00052	CDS	1851	hscA		COG0443	Chaperone protein HscA
JMBFADNF_00053	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
JMBFADNF_00054	CDS	201	iscX		COG2975	Protein IscX
JMBFADNF_00055	CDS	1287	pepB	3.4.11.23	COG0260	Peptidase B
JMBFADNF_00056	CDS	777				hypothetical protein
JMBFADNF_00057	CDS	771				hypothetical protein
JMBFADNF_00058	CDS	849	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
JMBFADNF_00059	CDS	1365	malH	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase
JMBFADNF_00060	CDS	1545	ptsG_1	2.7.1.199		PTS system glucose-specific EIICBA component
JMBFADNF_00061	CDS	4959	yfhM		COG2373	Alpha-2-macroglobulin
JMBFADNF_00062	CDS	2307	pbpC		COG4953	Penicillin-binding protein 1C
JMBFADNF_00063	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
JMBFADNF_00064	CDS	1167	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
JMBFADNF_00065	CDS	996	rodZ		COG1426	Cytoskeleton protein RodZ
JMBFADNF_00066	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
JMBFADNF_00067	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
JMBFADNF_00068	CDS	615				hypothetical protein
JMBFADNF_00069	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
JMBFADNF_00070	CDS	1473	der		COG1160	GTPase Der
JMBFADNF_00071	CDS	1554	dtpT		COG3104	Di-/tripeptide transporter
JMBFADNF_00072	CDS	1080				hypothetical protein
JMBFADNF_00073	CDS	222	yfgJ			putative protein YfgJ
JMBFADNF_00074	CDS	351				hypothetical protein
JMBFADNF_00075	CDS	1020	prtS	3.4.24.-		Protease PrtS
JMBFADNF_00076	CDS	1143				hypothetical protein
JMBFADNF_00077	CDS	1377	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
JMBFADNF_00078	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
JMBFADNF_00079	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
JMBFADNF_00080	CDS	1251	intS_1		COG0582	Prophage integrase IntS
JMBFADNF_00081	CDS	186				hypothetical protein
JMBFADNF_00082	CDS	714				hypothetical protein
JMBFADNF_00083	CDS	141				hypothetical protein
JMBFADNF_00084	CDS	300				hypothetical protein
JMBFADNF_00085	CDS	249				hypothetical protein
JMBFADNF_00086	CDS	1023				hypothetical protein
JMBFADNF_00087	CDS	900				hypothetical protein
JMBFADNF_00088	CDS	303				hypothetical protein
JMBFADNF_00089	CDS	150				hypothetical protein
JMBFADNF_00090	CDS	585				hypothetical protein
JMBFADNF_00091	CDS	231				hypothetical protein
JMBFADNF_00092	CDS	195				hypothetical protein
JMBFADNF_00093	CDS	888				hypothetical protein
JMBFADNF_00094	CDS	834	dnaT_1			Primosomal protein 1
JMBFADNF_00095	CDS	345				hypothetical protein
JMBFADNF_00096	CDS	306				hypothetical protein
JMBFADNF_00097	CDS	468				hypothetical protein
JMBFADNF_00098	CDS	345				hypothetical protein
JMBFADNF_00099	CDS	300				hypothetical protein
JMBFADNF_00100	CDS	438				hypothetical protein
JMBFADNF_00101	CDS	942				hypothetical protein
JMBFADNF_00102	CDS	207				hypothetical protein
JMBFADNF_00103	CDS	171				hypothetical protein
JMBFADNF_00104	CDS	243				hypothetical protein
JMBFADNF_00105	CDS	339				hypothetical protein
JMBFADNF_00106	CDS	330				hypothetical protein
JMBFADNF_00107	CDS	594				hypothetical protein
JMBFADNF_00108	CDS	1476				hypothetical protein
JMBFADNF_00109	CDS	741				hypothetical protein
JMBFADNF_00110	CDS	282				hypothetical protein
JMBFADNF_00111	CDS	135				hypothetical protein
JMBFADNF_00112	CDS	207				hypothetical protein
JMBFADNF_00113	CDS	1674				hypothetical protein
JMBFADNF_00114	CDS	297				hypothetical protein
JMBFADNF_00115	CDS	705				hypothetical protein
JMBFADNF_00116	CDS	987				hypothetical protein
JMBFADNF_00117	CDS	441				hypothetical protein
JMBFADNF_00118	CDS	360				hypothetical protein
JMBFADNF_00119	CDS	324				hypothetical protein
JMBFADNF_00120	CDS	606				hypothetical protein
JMBFADNF_00121	CDS	2478				hypothetical protein
JMBFADNF_00122	CDS	465				hypothetical protein
JMBFADNF_00123	CDS	537				hypothetical protein
JMBFADNF_00124	CDS	2529				hypothetical protein
JMBFADNF_00125	CDS	1905				hypothetical protein
JMBFADNF_00126	CDS	2766				hypothetical protein
JMBFADNF_00127	CDS	696				hypothetical protein
JMBFADNF_00128	CDS	513				hypothetical protein
JMBFADNF_00129	CDS	507				hypothetical protein
JMBFADNF_00130	CDS	261				hypothetical protein
JMBFADNF_00131	CDS	2397				hypothetical protein
JMBFADNF_00132	CDS	405				hypothetical protein
JMBFADNF_00133	CDS	294				hypothetical protein
JMBFADNF_00134	CDS	627				hypothetical protein
JMBFADNF_00135	CDS	225				hypothetical protein
JMBFADNF_00136	CDS	501				hypothetical protein
JMBFADNF_00137	CDS	753				hypothetical protein
JMBFADNF_00138	CDS	255	bhsA_1			Multiple stress resistance protein BhsA
JMBFADNF_00139	CDS	462				hypothetical protein
JMBFADNF_00140	CDS	1164				hypothetical protein
JMBFADNF_00141	CDS	876	cysL		COG0583	HTH-type transcriptional regulator CysL
JMBFADNF_00142	CDS	171	yfgG			Protein YfgG
JMBFADNF_00143	CDS	2250	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
JMBFADNF_00144	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
JMBFADNF_00145	CDS	2061	ppk	2.7.4.1	COG0855	Polyphosphate kinase
JMBFADNF_00146	CDS	642	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
JMBFADNF_00147	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
JMBFADNF_00148	CDS	1434	bglA_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
JMBFADNF_00149	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
JMBFADNF_00150	CDS	1290	uraA		COG2233	Uracil permease
JMBFADNF_00151	CDS	678	hda		COG0593	DnaA regulatory inactivator Hda
JMBFADNF_00152	CDS	360	yfgD		COG1393	putative protein YfgD
JMBFADNF_00153	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
JMBFADNF_00154	CDS	1062				hypothetical protein
JMBFADNF_00155	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
JMBFADNF_00156	CDS	570	gcvR		COG2716	Glycine cleavage system transcriptional repressor
JMBFADNF_00157	CDS	879	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
JMBFADNF_00158	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
JMBFADNF_00159	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
JMBFADNF_00160	CDS	864			COG2321	putative protein
JMBFADNF_00161	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
JMBFADNF_00162	CDS	696				hypothetical protein
JMBFADNF_00163	CDS	198				hypothetical protein
JMBFADNF_00164	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
JMBFADNF_00165	CDS	357	yffB		COG1393	Protein YffB
JMBFADNF_00166	CDS	3114	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
JMBFADNF_00167	CDS	1674	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
JMBFADNF_00168	CDS	1965		1.18.1.2		Ferredoxin--NADP reductase
JMBFADNF_00169	CDS	576	nudK_1	3.6.1.-		GDP-mannose pyrophosphatase NudK
JMBFADNF_00170	CDS	1044				hypothetical protein
JMBFADNF_00171	CDS	1989	tktB	2.2.1.1	COG0021	Transketolase 2
JMBFADNF_00172	CDS	951	tal	2.2.1.2		Transaldolase
JMBFADNF_00173	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
JMBFADNF_00174	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
JMBFADNF_00175	CDS	873	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
JMBFADNF_00176	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
JMBFADNF_00177	CDS	450	yfeZ			Inner membrane protein YfeZ
JMBFADNF_00178	CDS	576	yfeY			putative protein YfeY
JMBFADNF_00179	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
JMBFADNF_00180	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
JMBFADNF_00181	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
JMBFADNF_00182	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
JMBFADNF_00183	CDS	1095	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
JMBFADNF_00184	CDS	858	cysM	2.5.1.47	COG0031	Cysteine synthase B
JMBFADNF_00185	CDS	837	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
JMBFADNF_00186	CDS	510	crr		COG2190	PTS system glucose-specific EIIA component
JMBFADNF_00187	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
JMBFADNF_00188	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
JMBFADNF_00189	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
JMBFADNF_00190	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
JMBFADNF_00191	CDS	1008	zipA		COG3115	Cell division protein ZipA
JMBFADNF_00192	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
JMBFADNF_00193	CDS	216				hypothetical protein
JMBFADNF_00194	CDS	999				hypothetical protein
JMBFADNF_00195	CDS	936	cynR			HTH-type transcriptional regulator CynR
JMBFADNF_00196	CDS	342				hypothetical protein
JMBFADNF_00197	tRNA	76				tRNA-Lys(ttt)
JMBFADNF_00198	tRNA	76				tRNA-Val(tac)
JMBFADNF_00199	tRNA	76				tRNA-Val(tac)
JMBFADNF_00200	tRNA	76				tRNA-Val(tac)
JMBFADNF_00201	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
JMBFADNF_00202	CDS	375				hypothetical protein
JMBFADNF_00203	CDS	354				hypothetical protein
JMBFADNF_00204	tRNA	76				tRNA-Ala(tgc)
JMBFADNF_00205	tRNA	76				tRNA-Ala(ggc)
JMBFADNF_00206	CDS	1878	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
JMBFADNF_00207	CDS	1188	nupC_1		COG1972	Nucleoside permease NupC
JMBFADNF_00208	CDS	1239	mntH		COG1914	Divalent metal cation transporter MntH
JMBFADNF_00209	CDS	342				hypothetical protein
JMBFADNF_00210	CDS	999	gpr_1	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
JMBFADNF_00211	CDS	1656	ipdC	4.1.1.74	COG3961	Indole-3-pyruvate decarboxylase
JMBFADNF_00212	CDS	1236	yfeO			Putative ion-transport protein YfeO
JMBFADNF_00213	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
JMBFADNF_00214	CDS	741	ypdB		COG3279	Transcriptional regulatory protein YpdB
JMBFADNF_00215	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
JMBFADNF_00216	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
JMBFADNF_00217	CDS	213				hypothetical protein
JMBFADNF_00218	CDS	918	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
JMBFADNF_00219	tRNA	75				tRNA-Arg(cct)
JMBFADNF_00220	CDS	942	yfdC		COG2116	Inner membrane protein YfdC
JMBFADNF_00221	CDS	753	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
JMBFADNF_00222	CDS	1347	fadL		COG2067	Long-chain fatty acid transport protein
JMBFADNF_00223	CDS	285				hypothetical protein
JMBFADNF_00224	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
JMBFADNF_00225	CDS	2148	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
JMBFADNF_00226	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
JMBFADNF_00227	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
JMBFADNF_00228	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
JMBFADNF_00229	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
JMBFADNF_00230	CDS	519	mepA_1	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
JMBFADNF_00231	CDS	309	mepA_2	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
JMBFADNF_00232	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
JMBFADNF_00233	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
JMBFADNF_00234	CDS	279				hypothetical protein
JMBFADNF_00235	CDS	2001	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
JMBFADNF_00236	CDS	1218	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
JMBFADNF_00237	CDS	1176	yfcJ			putative MFS-type transporter YfcJ
JMBFADNF_00238	CDS	1005	flk			Flagellar regulator flk
JMBFADNF_00239	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
JMBFADNF_00240	CDS	1014	usg		COG0136	USG-1 protein
JMBFADNF_00241	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
JMBFADNF_00242	CDS	660	dedA		COG0586	Protein DedA
JMBFADNF_00243	CDS	906	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
JMBFADNF_00244	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
JMBFADNF_00245	CDS	708	dedD			Cell division protein DedD
JMBFADNF_00246	CDS	489	cvpA		COG1286	Colicin V production protein
JMBFADNF_00247	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
JMBFADNF_00248	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
JMBFADNF_00249	CDS	783	argT_1		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
JMBFADNF_00250	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
JMBFADNF_00251	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
JMBFADNF_00252	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
JMBFADNF_00253	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
JMBFADNF_00254	CDS	525				hypothetical protein
JMBFADNF_00255	CDS	894				Epimerase family protein
JMBFADNF_00256	CDS	363	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
JMBFADNF_00257	CDS	621	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
JMBFADNF_00258	CDS	681	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
JMBFADNF_00259	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
JMBFADNF_00260	CDS	555	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
JMBFADNF_00261	CDS	1020	gntR_1			HTH-type transcriptional regulator GntR
JMBFADNF_00262	CDS	444	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
JMBFADNF_00263	CDS	273				hypothetical protein
JMBFADNF_00264	CDS	1392	ulaA		COG3037	Ascorbate-specific PTS system EIIC component
JMBFADNF_00265	CDS	831	aptA_1	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
JMBFADNF_00266	CDS	954	aptB_1	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
JMBFADNF_00267	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
JMBFADNF_00268	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
JMBFADNF_00269	CDS	267				hypothetical protein
JMBFADNF_00270	CDS	456				hypothetical protein
JMBFADNF_00271	CDS	495				hypothetical protein
JMBFADNF_00272	CDS	660	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
JMBFADNF_00273	CDS	1833				hypothetical protein
JMBFADNF_00274	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
JMBFADNF_00275	CDS	1215	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
JMBFADNF_00276	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
JMBFADNF_00277	CDS	441	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
JMBFADNF_00278	CDS	675	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
JMBFADNF_00279	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
JMBFADNF_00280	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
JMBFADNF_00281	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
JMBFADNF_00282	CDS	2724	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
JMBFADNF_00283	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
JMBFADNF_00284	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
JMBFADNF_00285	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
JMBFADNF_00286	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
JMBFADNF_00287	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
JMBFADNF_00288	CDS	1530	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
JMBFADNF_00289	CDS	1458	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
JMBFADNF_00290	CDS	1005	cheV		COG0784	Chemotaxis protein CheV
JMBFADNF_00291	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
JMBFADNF_00292	CDS	453	elaA		COG2153	Protein ElaA
JMBFADNF_00293	CDS	306	elaB		COG4575	Protein ElaB
JMBFADNF_00294	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
JMBFADNF_00295	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
JMBFADNF_00296	CDS	777	menH_1	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
JMBFADNF_00297	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
JMBFADNF_00298	CDS	966	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
JMBFADNF_00299	CDS	1362	menE_1	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
JMBFADNF_00300	CDS	540				hypothetical protein
JMBFADNF_00301	CDS	1200	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
JMBFADNF_00302	CDS	1191	glpC		COG0247	Anaerobic glycerol-3-phosphate dehydrogenase subunit C
JMBFADNF_00303	CDS	1218	glpB	1.1.5.3	COG3075	Anaerobic glycerol-3-phosphate dehydrogenase subunit B
JMBFADNF_00304	CDS	1629	glpA	1.1.5.3	COG0578	Anaerobic glycerol-3-phosphate dehydrogenase subunit A
JMBFADNF_00305	CDS	1353	glpT		COG2271	Glycerol-3-phosphate transporter
JMBFADNF_00306	CDS	1062	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
JMBFADNF_00307	CDS	777	inaA			Protein InaA
JMBFADNF_00308	CDS	255	ascD	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
JMBFADNF_00309	CDS	1131	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
JMBFADNF_00310	CDS	2286	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
JMBFADNF_00311	CDS	729	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
JMBFADNF_00312	CDS	2637	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
JMBFADNF_00313	CDS	2844	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JMBFADNF_00314	CDS	651	rcsB		COG2197	Transcriptional regulatory protein RcsB
JMBFADNF_00315	CDS	2673	rcsD	2.7.2.-	COG2198	Phosphotransferase RcsD
JMBFADNF_00316	CDS	1131	ompC_1		COG3203	Outer membrane porin C
JMBFADNF_00317	CDS	1059	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
JMBFADNF_00318	CDS	1065	ada		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
JMBFADNF_00319	CDS	651	alkB	1.14.11.33	COG3145	Alpha-ketoglutarate-dependent dioxygenase AlkB
JMBFADNF_00320	CDS	1644	yojI		COG4615	ABC transporter ATP-binding/permease protein YojI
JMBFADNF_00321	CDS	1437			COG2239	Magnesium transporter MgtE
JMBFADNF_00322	CDS	1362				hypothetical protein
JMBFADNF_00323	CDS	1662	mqo	1.1.5.4	COG0579	Malate:quinone oxidoreductase
JMBFADNF_00324	CDS	1389				hypothetical protein
JMBFADNF_00325	CDS	477	eco		COG4574	Ecotin
JMBFADNF_00326	CDS	261				hypothetical protein
JMBFADNF_00327	tRNA	77				tRNA-Pro(ggg)
JMBFADNF_00328	CDS	1761	yejM		COG3083	Inner membrane protein YejM
JMBFADNF_00329	CDS	228				hypothetical protein
JMBFADNF_00330	CDS	1008	yejK		COG3081	Nucleoid-associated protein YejK
JMBFADNF_00331	CDS	285	rplY		COG1825	50S ribosomal protein L25
JMBFADNF_00332	CDS	1761	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
JMBFADNF_00333	CDS	708	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
JMBFADNF_00334	CDS	1197	bcr			Bicyclomycin resistance protein
JMBFADNF_00335	CDS	345	yejG			putative protein YejG
JMBFADNF_00336	CDS	1590	yejF		COG4172	putative ABC transporter ATP-binding protein YejF
JMBFADNF_00337	CDS	1026	yejE		COG4239	Inner membrane ABC transporter permease protein YejE
JMBFADNF_00338	CDS	1095	yejB		COG4174	Inner membrane ABC transporter permease protein YejB
JMBFADNF_00339	CDS	1806	appA_1			Oligopeptide-binding protein AppA
JMBFADNF_00340	CDS	1611	pdeN	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeN
